<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.08.19	1.23380	1.25885	1.22948	1.25109	345156	0	5
2012.08.26	1.25118	1.26360	1.24647	1.25783	271377	0	4
2012.09.02	1.25803	1.28165	1.25012	1.28154	318095	0	5
2012.09.09	1.28064	1.31676	1.27543	1.31286	350167	0	5
2012.09.16	1.31239	1.31706	1.29201	1.29788	361906	0	5
2012.09.23	1.29789	1.29798	1.28293	1.28595	337360	0	4
2012.09.30	1.28488	1.30708	1.28031	1.30391	308188	0	5
2012.10.07	1.30231	1.30246	1.28253	1.29503	285281	0	5
2012.10.14	1.29545	1.31384	1.28908	1.30230	289648	0	5
2012.10.21	1.30231	1.30824	1.28819	1.29385	277072	0	3
2012.10.28	1.29244	1.30199	1.28207	1.28333	226267	0	2
2012.11.04	1.28198	1.28757	1.26895	1.27106	316553	0	4
2012.11.11	1.27154	1.28010	1.26612	1.27418	291536	0	4
2012.11.18	1.27411	1.29896	1.27359	1.29729	279968	0	4
2012.11.25	1.29731	1.30267	1.28796	1.29848	286756	0	3
2012.12.02	1.29934	1.31253	1.28769	1.29261	274917	0	4
2012.12.09	1.28992	1.31727	1.28855	1.31622	258494	0	4
2012.12.16	1.31821	1.33076	1.31437	1.31867	266256	0	3
2012.12.23	1.31790	1.32833	1.31654	1.32146	153549	0	3
2012.12.30	1.32157	1.32992	1.29975	1.30677	221137	0	4
2013.01.06	1.30779	1.33644	1.30165	1.33416	256383	0	3
2013.01.13	1.33621	1.34031	1.32564	1.33195	269667	0	4
2013.01.20	1.33107	1.34785	1.32642	1.34629	253063	0	4
2013.01.27	1.34598	1.37106	1.34140	1.36391	278255	0	4
2013.02.03	1.36488	1.36532	1.33532	1.33614	300546	0	2
2013.02.10	1.33682	1.35193	1.33062	1.33585	261414	0	1
2013.02.17	1.33484	1.34316	1.31451	1.31907	182856	0	2
2013.02.24	1.31904	1.33183	1.29664	1.30180	232860	0	2
2013.03.03	1.30136	1.31341	1.29550	1.30042	138496	0	1
2013.03.10	1.29892	1.31069	1.29110	1.30754	233950	0	1
2013.03.17	1.29071	1.30095	1.28438	1.29867	272748	0	1
2013.03.24	1.29724	1.30479	1.27509	1.28148	217289	0	1
2013.03.31	1.28112	1.30397	1.27454	1.29915	208051	0	1
2013.04.07	1.29937	1.31380	1.29683	1.31082	221065	0	1
2013.04.14	1.31025	1.32015	1.30011	1.30510	274110	0	1
2013.04.21	1.30691	1.30933	1.29547	1.30267	228404	0	1
2013.04.28	1.30585	1.32427	1.30318	1.31131	210198	0	1
2013.05.05	1.31170	1.31944	1.29350	1.29853	200456	0	1
2013.05.12	1.29756	1.30293	1.27962	1.28363	226292	0	1
2013.05.19	1.28446	1.29980	1.28192	1.29278	272812	0	1
2013.05.26	1.29363	1.30614	1.28378	1.29956	277809	0	1
2013.06.02	1.29922	1.33045	1.29555	1.32168	312740	0	1
2013.06.09	1.31917	1.33898	1.31772	1.33445	305920	0	1
2013.06.16	1.33487	1.34158	1.30988	1.31209	298649	0	1
2013.06.23	1.31042	1.31508	1.29848	1.30078	290631	0	1
2013.06.30	1.30144	1.30780	1.28061	1.28291	261610	0	1
2013.07.07	1.28204	1.32066	1.27553	1.30651	304889	0	1
2013.07.14	1.30664	1.31781	1.29934	1.31408	243185	0	1
2013.07.21	1.31366	1.32968	1.31358	1.32765	226713	0	1
2013.07.28	1.32792	1.33446	1.31877	1.32798	234527	0	1
2013.08.04	1.32813	1.34002	1.32327	1.33387	210976	0	1
2013.08.11	1.33366	1.33798	1.32058	1.33279	210860	0	1
2013.08.18	1.33354	1.34518	1.32980	1.33788	224721	0	1
2013.08.25	1.33819	1.33986	1.31750	1.32195	200056	0	1
2013.09.01	1.32122	1.32270	1.31047	1.31766	172401	0	1
2013.09.08	1.31735	1.33244	1.31651	1.32932	168688	0	1
2013.09.15	1.33627	1.35685	1.33251	1.35217	178562	0	1
2013.09.22	1.35318	1.35642	1.34622	1.35216	159908	0	1
2013.09.29	1.34819	1.36455	1.34775	1.35565	181131	0	1
2013.10.06	1.35629	1.36070	1.34857	1.35372	167283	0	1
2013.10.13	1.35569	1.37036	1.34734	1.36853	175662	0	1
2013.10.20	1.36829	1.38320	1.36509	1.38020	158117	0	1
2013.10.27	1.38080	1.38171	1.34799	1.34858	180256	0	1
2013.11.03	1.34910	1.35472	1.32959	1.33644	175919	0	1
2013.11.10	1.33574	1.35046	1.33445	1.34943	178305	0	1
2013.11.17	1.34917	1.35770	1.33992	1.35554	182263	0	1
2013.11.24	1.35536	1.36214	1.34902	1.35901	159441	0	1
2013.12.01	1.35878	1.37061	1.35241	1.37045	198467	0	1
2013.12.08	1.37101	1.38105	1.36943	1.37376	173876	0	1
2013.12.15	1.37370	1.38111	1.36251	1.36700	197458	0	1
2013.12.22	1.36723	1.38930	1.36547	1.37462	105245	0	1
2013.12.29	1.37586	1.38189	1.35821	1.35874	156598	0	1
2014.01.05	1.35955	1.36871	1.35484	1.36665	200208	0	1
2014.01.12	1.36662	1.36992	1.35168	1.35405	189193	0	1
2014.01.19	1.35325	1.37393	1.35074	1.36752	198826	0	1
2014.01.26	1.36800	1.37163	1.34790	1.34849	222017	0	1
2014.02.02	1.34855	1.36425	1.34770	1.36342	224074	0	1
2014.02.09	1.36232	1.37145	1.35620	1.36918	168062	0	1
2014.02.16	1.37007	1.37730	1.36857	1.37380	148491	0	1
2014.02.23	1.37382	1.38241	1.36430	1.38016	170799	0	1
2014.03.02	1.37856	1.39146	1.37072	1.38746	183866	0	1
2014.03.09	1.38761	1.39666	1.38335	1.39134	325073	0	1
2014.03.16	1.39062	1.39474	1.37490	1.37933	317053	0	1
2014.03.23	1.37914	1.38757	1.37047	1.37513	342361	0	1
2014.03.30	1.37531	1.38201	1.36725	1.37014	327388	0	1
2014.04.06	1.37008	1.39057	1.36960	1.38844	263116	0	1
2014.04.13	1.38573	1.38645	1.37899	1.38068	163032	0	1
2014.04.20	1.38164	1.38545	1.37849	1.38330	148035	0	1
2014.04.27	1.38394	1.38889	1.37749	1.38689	180202	0	1
2014.05.04	1.38724	1.39932	1.37453	1.37577	232961	0	1
2014.05.11	1.37569	1.37747	1.36484	1.36933	206253	0	1
2014.05.18	1.36978	1.37337	1.36155	1.36280	154702	0	1
2014.05.25	1.36246	1.36681	1.35858	1.36339	135950	0	1
2014.06.01	1.36304	1.36769	1.35028	1.36423	212522	0	1
2014.06.08	1.36458	1.36685	1.35121	1.35379	197118	0	1
2014.06.15	1.35373	1.36433	1.35129	1.35995	183483	0	1
2014.06.22	1.35949	1.36510	1.35738	1.36488	166306	0	1
2014.06.29	1.36450	1.36969	1.35851	1.35944	90549	0	1
2014.07.06	1.35935	1.36506	1.35758	1.36032	151484	0	1
2014.07.13	1.36055	1.36401	1.34908	1.35203	214577	0	1
2014.07.20	1.35268	1.35484	1.34210	1.34288	221099	0	1
2014.07.27	1.34305	1.34446	1.33665	1.34264	215617	0	1
2014.08.03	1.34271	1.34323	1.33327	1.34094	228913	0	6
2014.08.10	1.34061	1.34148	1.33356	1.33975	200862	0	6
2014.08.17	1.33913	1.33988	1.32204	1.32381	198054	0	2
2014.08.24	1.31914	1.32204	1.31323	1.31323	181357	0	1
2014.08.31	1.31292	1.31600	1.29201	1.29510	210091	0	1
2014.09.07	1.29531	1.29791	1.28594	1.29643	295977	0	1
2014.09.14	1.29679	1.29951	1.28275	1.28284	260293	0	1
2014.09.21	1.28267	1.29012	1.26769	1.26825	287020	0	1
2014.09.28	1.26812	1.27149	1.25006	1.25145	285632	0	1
2014.10.05	1.25132	1.27914	1.25089	1.26272	348625	0	1
2014.10.12	1.26273	1.28868	1.26248	1.27591	453256	0	1
2014.10.19	1.27552	1.28397	1.26134	1.26681	363842	0	3
2014.10.26	1.26751	1.27701	1.24851	1.25231	399235	0	1
2014.11.02	1.25085	1.25772	1.23571	1.24535	494358	0	1
2014.11.09	1.24637	1.25462	1.23939	1.25215	463927	0	1
2014.11.16	1.25204	1.25991	1.23747	1.23892	392866	0	1
2014.11.23	1.23623	1.25310	1.23623	1.24498	278942	22224335000	1
2014.11.30	1.24613	1.25062	1.22707	1.22844	287048	0	1
2014.12.07	1.22828	1.24949	1.22472	1.24600	335435	428248938800	1
2014.12.14	1.24731	1.25696	1.22200	1.22224	351726	475662784000	1
2014.12.21	1.22230	1.22723	1.21644	1.21773	522167	778831584000	1
2014.12.28	1.21807	1.22209	1.19997	1.20014	199101	189085240000	1
2015.01.04	1.19454	1.19757	1.17536	1.18402	458565	0	9
2015.01.11	1.18481	1.18702	1.14594	1.15650	520065	0	9
2015.01.18	1.15524	1.16790	1.11145	1.12032	251059	0	6
2015.01.25	1.11492	1.14221	1.10970	1.12844	278771	26232873000	1
2015.02.01	1.13115	1.15332	1.12918	1.13102	349852	0	1
2015.02.08	1.12952	1.14421	1.12698	1.13919	330358	0	5
2015.02.15	1.13994	1.14496	1.12788	1.13785	314887	0	1
2015.02.22	1.13940	1.13952	1.11758	1.11957	296476	0	5
2015.03.01	1.11805	1.12402	1.08387	1.08433	300856	0	5
2015.03.08	1.08296	1.09061	1.04619	1.04910	401922	0	2
2015.03.15	1.04855	1.10415	1.04791	1.08189	435126	0	1
2015.03.22	1.08667	1.10515	1.07667	1.08841	414507	0	5
2015.03.29	1.08841	1.10261	1.07123	1.09679	327491	0	1
2015.04.05	1.10007	1.10348	1.05674	1.06030	329302	0	1
2015.04.12	1.06030	1.08481	1.05202	1.08089	431252	0	2
2015.04.19	1.08089	1.08996	1.06594	1.08700	452832	0	4
2015.04.26	1.08627	1.12896	1.08191	1.11967	549654	0	4
2015.05.03	1.11922	1.13918	1.10662	1.12085	190619	0	1
2015.05.10	1.12000	1.14661	1.11305	1.14466	422918	0	1
2015.05.17	1.14485	1.14485	1.10016	1.10141	500607	0	4
2015.05.24	1.10052	1.10089	1.08185	1.09895	504263	0	5
2015.05.31	1.09835	1.13793	1.08865	1.11163	662111	0	1
2015.06.07	1.11018	1.13855	1.10837	1.12621	808892	0	5
2015.06.14	1.12133	1.14360	1.11893	1.13483	683352	0	4
2015.06.21	1.13740	1.14097	1.11297	1.11713	671863	0	5
2015.06.28	1.10047	1.12776	1.09538	1.11038	714227	0	4
2015.07.05	1.09794	1.12153	1.09158	1.11541	787387	0	4
2015.07.12	1.10993	1.11963	1.08281	1.08299	695744	0	5
2015.07.19	1.08332	1.10180	1.08078	1.09762	756333	362240361000	4
2015.07.26	1.09759	1.11292	1.08931	1.09831	708373	974474696000	5
2015.08.02	1.09711	1.09957	1.08477	1.09640	680722	966121143000	5
2015.08.09	1.09623	1.12137	1.09250	1.11100	600900	819337173000	4
2015.08.16	1.11140	1.13884	1.10171	1.13865	729892	1017363513000	7
2015.08.23	1.13742	1.17138	1.11559	1.11803	1072302	1239910391000	7
2015.08.30	1.11767	1.13318	1.10869	1.11469	745872	1053585481000	7
2015.09.06	1.11571	1.13493	1.11210	1.13395	724352	1042566194000	7
2015.09.13	1.13298	1.14600	1.12138	1.12985	697376	1051997574000	7
2015.09.20	1.12823	1.13298	1.11049	1.11994	735427	1103243120000	7
2015.09.27	1.11910	1.13181	1.11347	1.12095	734787	1104037547000	4
2015.10.04	1.12202	1.13869	1.11717	1.13569	723200	1157952219000	7
2015.10.11	1.13588	1.14949	1.13339	1.13474	624106	1001400043000	7
2015.10.18	1.13546	1.13868	1.09963	1.10169	650550	1056362226000	7
2015.10.25	1.10071	1.10955	1.08966	1.10050	621044	999421622000	7
2015.11.01	1.10266	1.10527	1.07070	1.07390	632031	1028290494000	7
2015.11.08	1.07283	1.08301	1.06740	1.07668	754210	1151847960000	4
2015.11.15	1.07366	1.07628	1.06166	1.06451	728822	1169431344000	6
2015.11.22	1.06372	1.06890	1.05657	1.05938	691941	1106524406000	7
2015.11.29	1.05887	1.09807	1.05222	1.08779	808995	1277493798000	2
2015.12.06	1.08681	1.10427	1.07958	1.09894	775048	1169925620000	7
2015.12.13	1.09801	1.10593	1.08023	1.08613	813414	1109525424000	7
2015.12.20	1.08511	1.09839	1.08457	1.09542	414093	525729500000	3
2015.12.27	1.09441	1.09922	1.08526	1.08609	332889	393294847000	7
2016.01.03	1.08696	1.09462	1.07104	1.09245	789395	1045801868000	7
2016.01.10	1.09171	1.09844	1.08046	1.09132	843872	1185031337000	5
2016.01.17	1.09206	1.09757	1.07770	1.07965	859880	1267134159000	4
2016.01.24	1.07886	1.09674	1.07886	1.08300	857963	1226975883000	7
2016.01.31	1.08297	1.12468	1.08142	1.11578	914283	1156926575000	7
2016.02.07	1.11415	1.13761	1.10862	1.12503	1112797	1570667151000	7
2016.02.14	1.12336	1.12495	1.10664	1.11279	823814	1162729462000	7
2016.02.21	1.11111	1.11244	1.09114	1.09289	805888	1346337448000	7
2016.02.28	1.09130	1.10430	1.08251	1.10064	805347	1294858673000	5
2016.03.06	1.09879	1.12177	1.08219	1.11462	732100	1138434791000	7
2016.03.13	1.11444	1.13422	1.10575	1.12688	703779	1038301145000	7
2016.03.20	1.12682	1.12844	1.11439	1.11613	474566	619871355000	7
2016.03.27	1.11599	1.14377	1.11527	1.13897	660864	1100120444000	7
2016.04.03	1.13994	1.14538	1.13262	1.13949	731689	1167671031000	7
2016.04.10	1.14138	1.14645	1.12335	1.12827	679931	1117963972000	7
2016.04.17	1.12998	1.13985	1.12154	1.12154	661726	928891644000	7
2016.04.24	1.12167	1.14590	1.12145	1.14504	690513	1005193577000	4
2016.05.01	1.14582	1.16159	1.13856	1.14009	714720	1006960940000	7
2016.05.08	1.13939	1.14462	1.12825	1.13088	595504	923758689000	7
2016.05.15	1.13098	1.13482	1.11796	1.12217	606041	975882437000	7
2016.05.22	1.12033	1.12426	1.11107	1.11130	574241	945429153000	7
2016.05.29	1.11125	1.13732	1.10707	1.13662	637599	1092489360000	7
2016.06.05	1.13542	1.14151	1.12450	1.12533	645488	1109201421000	7
2016.06.12	1.12478	1.13027	1.11307	1.12752	746001	1257713456000	7
2016.06.19	1.13308	1.14278	1.09113	1.10912	829120	1254982379000	7
2016.06.26	1.10024	1.11689	1.09705	1.11361	824124	1151508206000	7
2016.07.03	1.11245	1.11862	1.10016	1.10497	635295	948449105000	7
2016.07.10	1.10448	1.11644	1.10153	1.10244	683286	1159470478000	7
2016.07.17	1.10497	1.10839	1.09551	1.09747	575364	1001480969000	7
2016.07.24	1.09725	1.11972	1.09314	1.11743	580293	843704556000	7
2016.07.31	1.11715	1.12334	1.10453	1.10867	531328	633152185000	7
2016.08.07	1.10795	1.12209	1.10700	1.11634	503635	717601669000	7
2016.08.14	1.11659	1.13661	1.11530	1.13237	553397	701510710000	7
2016.08.21	1.13087	1.13548	1.11806	1.11856	521203	636044205000	7
2016.08.28	1.11823	1.12518	1.11227	1.11449	519827	568181727000	7
2016.09.04	1.11564	1.13266	1.11393	1.12235	550864	570112272000	7
2016.09.11	1.12304	1.12833	1.11492	1.11535	610953	710811979000	7
2016.09.18	1.11531	1.12569	1.11228	1.12149	564041	613511528000	7
2016.09.25	1.12290	1.12788	1.11531	1.12399	628079	698639644000	7
2016.10.02	1.12262	1.12439	1.11040	1.11931	692360	818381106000	7
2016.10.09	1.11810	1.12028	1.09699	1.09711	663885	730049018000	7
2016.10.16	1.09689	1.10388	1.08590	1.08736	557208	528473480000	7
2016.10.23	1.08801	1.09915	1.08507	1.09745	552779	461187947000	7
2016.10.30	1.09841	1.11405	1.09355	1.11375	589055	524553953000	7
2016.11.06	1.10616	1.12991	1.08301	1.08503	856770	769952179000	7
2016.11.13	1.08316	1.08403	1.05687	1.05826	830097	742663966000	7
2016.11.20	1.05915	1.06575	1.05176	1.05772	760860	651550339000	7
2016.11.27	1.06079	1.06896	1.05521	1.06538	745457	596530190000	7
2016.12.04	1.06171	1.08734	1.05044	1.05515	608947	399965566000	7
2016.12.11	1.05326	1.06698	1.03660	1.04401	659991	466309077000	7
2016.12.18	1.04374	1.04989	1.03519	1.04700	528018	444497638000	7
2016.12.25	1.04607	1.06522	1.03249	1.05068	478283	408342680000	7
2017.01.01	1.05100	1.06207	1.03399	1.05235	667689	565905926000	7
2017.01.08	1.05292	1.06844	1.04534	1.06420	775893	605416033000	7
2017.01.15	1.06023	1.07190	1.05789	1.06982	762890	628195585000	7
2017.01.22	1.07004	1.07745	1.06572	1.06968	714178	620828223000	7
2017.01.29	1.07023	1.08284	1.06200	1.07789	735461	648054137000	7
2017.02.05	1.07848	1.07906	1.06072	1.06377	634550	552315453000	7
2017.02.12	1.06276	1.06790	1.05210	1.06056	610060	547506040000	7
2017.02.19	1.06069	1.06326	1.04933	1.05513	569455	490297713000	7
2017.02.26	1.05622	1.06304	1.04946	1.06166	629942	560126465000	7
2017.03.05	1.06033	1.06988	1.05247	1.06712	600364	549991275000	7
2017.03.12	1.06832	1.07821	1.05995	1.07362	622371	554502597000	7
2017.03.19	1.07384	1.08245	1.07189	1.07957	584753	519252993000	7
2017.03.26	1.08316	1.09057	1.06462	1.06462	548814	507688407000	7
2017.04.02	1.06591	1.06887	1.05804	1.05884	512352	486033592000	7
2017.04.09	1.05876	1.06776	1.05698	1.06101	469808	0	50
2017.04.16	1.06109	1.07773	1.06028	1.07238	467631	229410266000	7
2017.04.23	1.08976	1.09506	1.08209	1.08979	589503	288751184667	0
2017.04.30	1.09101	1.09997	1.08750	1.09994	466988	12091721402	0
2017.05.07	1.10187	1.10217	1.08391	1.09315	519264	9886441989	0
2017.05.14	1.09300	1.12120	1.09226	1.12075	591844	8915013379	0
2017.05.21	1.11928	1.12684	1.11606	1.11777	583738	9207346659	0
2017.05.28	1.11688	1.12851	1.11095	1.12798	499931	6864864037	0
2017.06.04	1.12704	1.12841	1.11664	1.11965	615383	615353	0
2017.06.11	1.12065	1.12960	1.11321	1.11943	558944	558940	0
2017.06.18	1.12060	1.12129	1.11190	1.11923	412234	412230	0
2017.06.25	1.11969	1.14455	1.11717	1.14195	628096	628092	0
2017.07.02	1.14164	1.14398	1.13126	1.14000	500338	500334	0
2017.07.09	1.13954	1.14895	1.13706	1.14668	537086	537082	0
2017.07.16	1.14730	1.16828	1.14349	1.16620	620018	620014	0
2017.07.23	1.16624	1.17767	1.16125	1.17485	630393	630389	0
2017.07.30	1.17460	1.19102	1.17232	1.17711	610268	610264	0
2017.08.06	1.17727	1.18473	1.16890	1.18214	614197	614193	0
2017.08.13	1.18199	1.18384	1.16622	1.17594	764864	764860	0
2017.08.20	1.17556	1.19417	1.17311	1.19210	627789	627785	0
2017.08.27	1.19397	1.20704	1.18231	1.18622	864363	864360	0
2017.09.03	1.18835	1.20924	1.18683	1.20310	897315	897310	0
2017.09.10	1.20155	1.20296	1.18376	1.19457	774800	774796	0
2017.09.17	1.19205	1.20343	1.18613	1.19467	802859	802855	0
2017.09.24	1.18977	1.19366	1.17170	1.18110	775618	775614	0
2017.10.01	1.17882	1.18151	1.16693	1.17347	668304	668301	0
2017.10.08	1.17276	1.18798	1.17195	1.18214	614543	614539	0
2017.10.15	1.18104	1.18582	1.17301	1.17789	654443	654439	0
2017.10.22	1.17645	1.18368	1.15742	1.16074	749696	749692	0
2017.10.29	1.16057	1.16912	1.15938	1.16094	652014	652009	0
2017.11.05	1.16139	1.16780	1.15540	1.16637	563746	563742	0
2017.11.12	1.16561	1.18607	1.16374	1.17895	564092	564088	0
2017.11.19	1.17847	1.19445	1.17130	1.19319	516028	0	0
2017.11.26	1.19234	1.19612	1.18089	1.18988	740283	0	0
2017.12.03	1.18599	1.18787	1.17302	1.17726	580485	0	0
2017.12.10	1.17615	1.18625	1.17176	1.17499	540006	0	0
2017.12.17	1.17421	1.19018	1.17376	1.18611	543524	0	0
2017.12.24	1.18643	1.20255	1.18466	1.19957	306524	0	0
2017.12.31	1.20096	1.20890	1.20011	1.20290	395339	0	50
2018.01.07	1.20235	1.22186	1.19156	1.21950	680471	0	50
2018.01.14	1.21923	1.23231	1.21651	1.22191	852528	0	50
2018.01.21	1.22695	1.25378	1.22139	1.24288	1030802	0	50
2018.01.28	1.24230	1.25228	1.23349	1.24559	1078421	0	50
2018.02.04	1.24310	1.24750	1.22056	1.22518	1284096	0	50
2018.02.11	1.22482	1.25556	1.22351	1.24103	928157	0	50
2018.02.18	1.24016	1.24352	1.22594	1.22952	829601	0	0
2018.02.25	1.22936	1.23553	1.21546	1.23203	882468	0	0
2018.03.04	1.23274	1.24464	1.22690	1.23051	908818	0	0
2018.03.11	1.23092	1.24127	1.22601	1.22871	721922	0	0
2018.03.18	1.22805	1.23886	1.22397	1.23526	874240	0	0
2018.03.25	1.23470	1.24766	1.22840	1.23242	667169	0	0
2018.04.01	1.23205	1.23451	1.22149	1.22812	677765	0	0
2018.04.08	1.22840	1.23963	1.22603	1.23303	749606	0	0
2018.04.15	1.23300	1.24138	1.22498	1.22874	625211	0	0
2018.04.22	1.22700	1.22894	1.20554	1.21301	665336	0	0
2018.04.29	1.21225	1.21389	1.19108	1.19627	727472	0	0
2018.05.06	1.19515	1.19780	1.18226	1.19391	676480	0	0
2018.05.13	1.19380	1.19962	1.17498	1.17698	749548	0	0
2018.05.20	1.17678	1.18298	1.16456	1.16504	700131	0	0
2018.05.27	1.16848	1.17284	1.15101	1.16600	893462	0	0
2018.06.03	1.16560	1.18400	1.16525	1.17689	770927	0	0
2018.06.10	1.17740	1.18516	1.15433	1.16073	792402	0	0
2018.06.17	1.15862	1.16751	1.15081	1.16569	846656	0	0
2018.06.24	1.16620	1.17204	1.15273	1.16850	990683	0	0
2018.07.01	1.16730	1.17678	1.15914	1.17431	692061	0	0
2018.07.08	1.17510	1.17907	1.16130	1.16862	689913	0	0
